bar_s,scheme,lagset,horizon,horizon_seconds,train,levels,dm_own_minus_cross,p_own_vs_cross,dm_car_minus_cross,p_car_vs_cross,dm_placebo_cross_minus_real_cross,p_placebo_vs_real_cross,mcs_included_10pct,p_own_vs_cross_bonf672,p_own_vs_cross_holm672,p_own_vs_cross_bh672,p_car_vs_cross_bonf672,p_car_vs_cross_holm672,p_car_vs_cross_bh672,p_placebo_vs_real_cross_bonf672,p_placebo_vs_real_cross_holm672,p_placebo_vs_real_cross_bh672
300,best,ccz,1,300,3000,10,4.802973917833139,1.5805721907008402e-06,1.3394239062201003,0.1804559534130341,0.8142185717292931,0.41553488434084807,"car,cross",0.0010621445121509645,0.001047919362434657,0.00010621445121509645,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,2,600,3000,10,5.373969172079371,7.834138892103626e-08,2.1267408182629217,0.033460266221419316,1.4661076765913807,0.14264350424560515,cross,5.264541335493637e-05,5.2488730577094294e-05,1.7548471118312123e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,3,900,3000,10,5.549251347895289,2.924672796541809e-08,2.067330582919945,0.038722615367299096,2.038303039533123,0.04154013569492954,cross,1.9653801192760956e-05,1.9653801192760956e-05,1.7548471118312123e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,5,1500,3000,10,4.684028704335804,2.841188380347902e-06,1.3217387383074548,0.18627825731662984,1.513036116637569,0.13029516440009714,"car,cross",0.0019092785915937902,0.0018751843310296154,0.0001468675839687531,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,10,3000,3000,10,4.5053593131221215,6.683458329787521e-06,0.7061180559821684,0.48012729275437815,0.7770246071800487,0.43715861185469096,"car,cross",0.004491283997617214,0.0043843486643406135,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,20,6000,3000,10,3.5143562606890457,0.0004423113422446093,0.12953130676095048,0.8969392464120657,2.00620030518579,0.0448558968399464,"car,cross",0.2972332219883774,0.2870600611167514,0.012384717582849059,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,30,9000,3000,10,2.7545100422650206,0.005886139647198379,-0.09630181484889876,0.9232823464616018,1.7560095856255786,0.07911072310234818,"car,cross",1.0,1.0,0.1464994756636041,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,1,300,3000,10,4.513691504943172,6.426417062218735e-06,1.4064946051630525,0.1596010317320422,0.12776969353829298,0.8983332402468793,"car,cross",0.004318552265810989,0.004222156009877708,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,2,600,3000,10,4.639774338047944,3.521700358732514e-06,1.9323563421728966,0.05333707838399021,0.50513130425174,0.6134753070798626,cross,0.0023665826410682496,0.0023208005364047267,0.0001690416172191607,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,3,900,3000,10,4.928085830214881,8.405493194876481e-07,1.9331617566151438,0.053237805246812445,1.3387257529283103,0.18068373177955027,cross,0.0005648491426956995,0.000558965297459286,6.48836995266912e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,5,1500,3000,10,5.430669975218209,5.7145051810376656e-08,1.2942234259331042,0.1956110840285707,1.3451380486172262,0.1786044793062535,"car,cross",3.840147481657311e-05,3.8344329764762735e-05,1.7548471118312123e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,10,3000,3000,10,4.490162773282362,7.177718525830812e-06,0.3935755306148649,0.6939008610165798,0.05066547283379915,0.9595928805420427,"car,cross",0.0048234268493583055,0.004701405634419182,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,20,6000,3000,10,3.9885733591252346,6.683373165888281e-05,-0.14329146061039255,0.8860622072987059,1.5799480686176979,0.11414348822126129,"car,cross",0.04491226767476925,0.043575593041591594,0.00213867941308425,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,30,9000,3000,10,2.131046284986834,0.033103940028757155,-0.5982434388316437,0.5496878787752975,1.6826539449067928,0.09246652956554507,"car,cross",1.0,1.0,0.7944945606901718,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,1,300,3000,10,4.537280041257625,5.749115133491337e-06,1.3724957441332346,0.1699326655565933,0.33238953949412875,0.739600575367728,"car,cross",0.0038634053697061783,0.0037829177578372996,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,2,600,3000,10,4.769912955004355,1.8629274468525834e-06,1.9018556821162753,0.05721194533181201,0.5899202436818777,0.5552545281237508,cross,0.001251887244284936,0.00123325796981641,0.00011380793129863054,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,3,900,3000,10,4.983599546689186,6.320951722732363e-07,1.8773330997638347,0.060494665607518275,1.1579991266398029,0.24688598716358212,cross,0.0004247679557676148,0.00042160747990624864,6.48836995266912e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,5,1500,3000,10,5.229679533045375,1.7242058530482837e-07,1.316980011037839,0.18786837385120478,1.0014570999142782,0.3166247942822399,"car,cross",0.00011586663332484467,0.00011517695098362535,2.3173326664968933e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,10,3000,3000,10,5.237124464993849,1.6562575915898666e-07,0.7132560811280725,0.47570002613738804,0.2769442121214906,0.7818274153652898,"car,cross",0.00011130051015483904,0.00011080363287736208,2.3173326664968933e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,20,6000,3000,10,3.835589063646415,0.00012585184287080902,0.11322884103135623,0.9098508688220368,1.6537866315871106,0.09819541333461403,"car,cross",0.08457243840918366,0.08192954970889667,0.0038442017458719846,1.0,1.0,1.0,1.0,1.0,1.0
300,distance,ccz,30,9000,3000,10,2.8594890016885697,0.0042499598138819854,-0.16509986720953754,0.8688679312521621,2.269526126254364,0.02325293800136456,"car,cross",1.0,1.0,0.11423891979714776,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,1,300,3000,10,4.384219329491822,1.173098827714824e-05,1.3035845420560004,0.19239818738964168,0.011423930661368565,0.9908853982696019,"car,cross",0.007883224122243617,0.007660335344977801,0.0003941612061121809,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,2,600,3000,10,4.4888877795044175,7.220702849884174e-06,1.7962033273487428,0.07248522522455277,0.35777216291343905,0.7205197197079608,cross,0.0048523123151221655,0.00472233966382425,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,3,900,3000,10,4.723418077105562,2.3432134162853136e-06,1.7408098202620164,0.08174040713428282,0.869790271419123,0.3844313300965183,"car,cross",0.0015746394157437307,0.0015488640681645923,0.00013121995131197756,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,5,1500,3000,10,4.921569717177154,8.689781186610429e-07,1.1746779372381635,0.2401449526994707,0.9146081832292284,0.3604145828300015,"car,cross",0.0005839532957402208,0.0005770014707909326,6.48836995266912e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,10,3000,3000,10,4.930146838891011,8.317513592985463e-07,0.7877302092382606,0.4308687968449929,1.1366409618158968,0.2557096877143962,"car,cross",0.0005589369134486231,0.0005539464052928318,6.48836995266912e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,20,6000,3000,10,3.740052318594467,0.0001847674282964926,0.20071870648507187,0.8409216529680317,2.668409024875287,0.007630752811289094,"car,cross",0.12416371181524304,0.1200988283927202,0.0053984222528366535,1.0,1.0,1.0,1.0,1.0,1.0
300,pca,ccz,30,9000,3000,10,2.7564899810806938,0.005850643161568641,-0.24361742724762334,0.8075309539748148,2.5217638792813775,0.01168885829112123,"car,cross",1.0,1.0,0.1464994756636041,1.0,1.0,1.0,1.0,1.0,1.0

