spec,bar_s,scheme,lagset,horizon,horizon_seconds,levels,train,test,step,dm_own_minus_cross,p_own_vs_cross,dm_car_minus_cross,p_car_vs_cross,dm_placebo_cross_minus_real_cross,p_placebo_vs_real_cross,mcs_included_10pct,p_own_vs_cross_bonf792,p_own_vs_cross_holm792,p_own_vs_cross_bh792,p_car_vs_cross_bonf792,p_car_vs_cross_holm792,p_car_vs_cross_bh792,p_placebo_vs_real_cross_bonf792,p_placebo_vs_real_cross_holm792,p_placebo_vs_real_cross_bh792
subminute_decay,1,best,single_bar,1,1,10,604800,86400,604800,19.471548563033174,2.0338239515064237e-84,8.35313573848722,6.66142815761761e-17,19.464883149264924,2.31622604826618e-84,cross,1.6107885695930875e-81,1.6006194498355555e-81,2.684647615988479e-82,5.275851100833147e-14,5.275851100833147e-14,5.275851100833147e-14,1.8344510302268146e-81,1.8228698999854836e-81,3.0574183837113576e-82
subminute_decay,1,sum,single_bar,1,1,10,604800,86400,604800,25.059762586639682,1.613641801748878e-138,6.743425697230514,1.5483553247855145e-11,25.060119704817527,1.5992575739178243e-138,cross,1.2780043069851115e-135,1.2763906651833625e-135,6.390021534925557e-136,1.2262974172301275e-08,1.2170072852814145e-08,1.7518534531858964e-09,1.266611998542917e-135,1.265012740968999e-135,6.333059992714585e-136
subminute_decay,1,distance,single_bar,1,1,10,604800,86400,604800,23.316064765705335,3.450995795020383e-120,6.676807510775785,2.444165767509614e-11,23.3117438143829,3.8171098468780256e-120,cross,2.7331886696561436e-117,2.7262866780661027e-117,9.110628898853813e-118,1.9357792878676143e-08,1.918670127495047e-08,2.419724109834518e-09,3.023150998727396e-117,3.01551677903364e-117,1.0077169995757988e-117
subminute_decay,1,pca,single_bar,1,1,10,604800,86400,604800,26.942635176772757,8.688056289819225e-160,6.84514285060767,7.647314113504536e-12,26.946834913024322,7.758362007426988e-160,cross,6.880940581536826e-157,6.880940581536826e-157,6.880940581536826e-157,6.0566727778955925e-09,6.026083521441574e-09,1.2113345555791186e-09,6.144622709882174e-157,6.144622709882174e-157,6.144622709882174e-157
subminute_decay,2,best,single_bar,1,2,10,302400,43200,302400,15.097955104432161,1.7468443212303786e-51,6.806083744999714,1.0048335508041355e-11,15.134264948951353,1.0070207541402963e-51,cross,1.38350070241446e-48,1.3677791035233864e-48,1.3835007024144599e-49,7.958281722368753e-09,7.908040044828545e-09,1.3263802870614588e-09,7.975604372791146e-49,7.88497250491852e-49,7.975604372791146e-50
subminute_decay,2,sum,single_bar,1,2,10,302400,43200,302400,20.144430282766383,3.468743004427511e-90,8.133852463918592,4.174642992463275e-16,20.223888603093105,6.964996140945211e-91,cross,2.747244459506589e-87,2.7333694874888785e-87,5.494488919013178e-88,3.306317250030914e-13,3.3021426070384505e-13,1.653158625015457e-13,5.516276943628607e-88,5.488416959064826e-88,1.1032553887257214e-88
subminute_decay,2,distance,single_bar,1,2,10,302400,43200,302400,18.508882150851125,1.9367347371399553e-76,7.250960931792657,4.1484099361138893e-13,18.586772230745417,4.555903654997629e-77,cross,1.5338939118148446e-73,1.522273503392005e-73,2.1912770168783495e-74,3.2855406694022004e-10,3.2730954395938587e-10,8.213851673505501e-11,3.608275694758122e-74,3.5809402728281365e-74,5.154679563940173e-75
subminute_decay,2,pca,single_bar,1,2,10,302400,43200,302400,20.772930557765957,8.925072758278447e-96,7.743447936273691,9.706410050713114e-15,20.861674423827555,1.4048815076650372e-96,cross,7.06865762455653e-93,7.041882406281695e-93,1.7671644061391325e-93,7.687476760164787e-12,7.66806394006336e-12,2.5624922533882623e-12,1.1126661540707095e-93,1.1084515095477144e-93,2.781665385176774e-94
subminute_decay,3,best,single_bar,1,3,10,201600,28800,201600,12.308807674967845,8.371162946405011e-35,5.110134781499447,3.2223683637359014e-07,12.318392037584992,7.43426866675084e-35,cross,6.629961053552769e-32,6.521135935249504e-32,4.735686466823406e-33,0.0002552115744078834,0.00025037802186227956,1.595072340049271e-05,5.887940784066666e-32,5.791295291398904e-32,4.2056719886190465e-33
subminute_decay,3,sum,single_bar,1,3,10,201600,28800,201600,15.892155696994422,7.808470135590071e-57,5.5752337141147255,2.4752894118055928e-08,15.869240986902586,1.124656487932943e-56,cross,6.184308347387336e-54,6.121840586302616e-54,6.871453719319262e-55,1.9604292141500296e-05,1.938151609443779e-05,1.8840133949974209e-06,8.907279384428908e-54,8.817306865394273e-54,9.896977093809899e-55
subminute_decay,3,distance,single_bar,1,3,10,201600,28800,201600,14.496713252181442,1.346879110740412e-47,5.048925153433745,4.447082055532929e-07,14.511455717489477,1.0867509971343947e-47,cross,1.0667282557064063e-44,1.0532594645990021e-44,9.697529597330967e-46,0.00035220889879820797,0.0003450935675093553,2.0718170517541646e-05,8.607067897304406e-45,8.498392797590966e-45,7.824607179367642e-46
subminute_decay,3,pca,single_bar,1,3,10,201600,28800,201600,16.371515527571336,3.356956687233082e-60,5.334850074866534,9.573151049866855e-08,16.38831724104369,2.5477017564574093e-60,cross,2.658709696288601e-57,2.635210999477969e-57,3.323387120360751e-58,7.58193563149455e-05,7.467057818896147e-05,5.832258178072731e-06,2.017779791114268e-57,1.9999458788190662e-57,2.522224738892835e-58
subminute_decay,4,best,single_bar,1,4,10,151200,21600,151200,10.064934921010495,8.041022818343437e-24,5.000741540355273,5.717826244232148e-07,10.142140600405904,3.6604073427288415e-24,cross,6.368490072128002e-21,6.2317926842161634e-21,3.538050040071112e-22,0.0004528518385431861,0.0004425597513035682,2.3834307291746637e-05,2.8990426154412426e-21,2.8368156906148522e-21,1.6105792308006904e-22
subminute_decay,4,sum,single_bar,1,4,10,151200,21600,151200,13.275002903083232,3.416673953445351e-40,5.163131102546118,2.431802210837411e-07,13.06009202535062,5.862583487993992e-39,cross,2.706005771128718e-37,2.665005683687374e-37,2.0815429008682447e-38,0.00019259873509832297,0.00018919421200315058,1.283991567322153e-05,4.6431661224912414e-36,4.572815120635314e-36,3.5716662480701856e-37
subminute_decay,4,distance,single_bar,1,4,10,151200,21600,151200,12.058860110833624,1.8088797547320174e-33,4.772273179471923,1.8233943239727418e-06,11.931201488262058,8.439405429913925e-33,cross,1.4326327657477578e-30,1.4073084491815095e-30,9.550885104985052e-32,0.0014441283045864115,0.0014094838124309294,7.220641522932058e-05,6.684009100491828e-30,6.565857424473034e-30,4.456006066994552e-31
subminute_decay,4,pca,single_bar,1,4,10,151200,21600,151200,13.691906468610481,1.2082747566008134e-42,5.013683820556008,5.346195260240953e-07,13.531947736995088,1.075432758950102e-41,cross,9.569536072278442e-40,9.436625849052352e-40,7.974613393565368e-41,0.00042341866461108346,0.0004143301326686738,2.3523259145060193e-05,8.517427450884807e-39,8.399129847400297e-39,7.097856209070673e-40
subminute_decay,5,best,single_bar,1,5,10,120960,17280,120960,8.21553456189214,2.1332207874650853e-16,5.565697850083952,2.616685270829751e-08,8.431464212035573,3.4512984098307214e-17,cross,1.6895108636723477e-13,1.6447132271355807e-13,7.679594834874307e-15,2.072414734497163e-05,2.0462478817888653e-05,1.8840133949974209e-06,2.7334283405859312e-14,2.660951073979486e-14,1.2424674275390596e-15
subminute_decay,5,sum,single_bar,1,5,10,120960,17280,120960,10.731983789206103,7.41133264760788e-27,5.3721041758186985,7.79694351285258e-08,10.683877248596332,1.2454058778741764e-26,cross,5.869775456905441e-24,5.751194134543715e-24,3.4528090922973184e-25,6.175179262179245e-05,6.0894128835378655e-05,5.1459827184827035e-06,9.863614552763478e-24,9.664349612303609e-24,5.802126207507928e-25
subminute_decay,5,distance,single_bar,1,5,10,120960,17280,120960,10.039822898633512,1.0410816078201008e-23,5.292416820645842,1.2092455054262007e-07,10.019498404458583,1.2787988454383647e-23,cross,8.245366333935199e-21,8.05797164452758e-21,4.339666491544842e-22,9.577224402975509e-05,9.420022487270103e-05,6.840874573553935e-06,1.0128086855871849e-20,9.897903063692944e-21,5.330572029406237e-22
subminute_decay,5,pca,single_bar,1,5,10,120960,17280,120960,11.741396665865373,8.143009032539295e-32,5.656031147767831,1.552690855161118e-08,11.691323609105536,1.4692881658062695e-31,cross,6.449263153771121e-29,6.327118018283032e-29,4.030789471106951e-30,1.2297311572876055e-05,1.2173096304463165e-05,1.3663679525417838e-06,1.1636762273185655e-28,1.1416369048314715e-28,7.272976420741035e-30
subminute_decay,6,best,single_bar,1,6,10,100800,14400,100800,6.323206007404679,2.5728461086326314e-10,4.011926282796932,6.026974967458725e-05,6.892874620469793,5.500333687007498e-12,cross,2.037694118037044e-07,1.9785186575384935e-07,8.490392158487682e-09,0.0477336417422731,0.04652824674878136,0.002273030559155862,4.3562642801099386e-09,4.2297566053087664e-09,1.8151101167124745e-10
subminute_decay,6,sum,single_bar,1,6,10,100800,14400,100800,8.825754694142532,1.1045428480690622e-18,3.728247055215145,0.00019292420268415665,8.934482319831726,4.159243490683665e-19,cross,8.747979356706972e-16,8.52707078709316e-16,4.165704455574749e-17,0.15279596852585206,0.1485516360668006,0.006643302979384872,3.294120844621463e-16,3.2109359748077896e-16,1.568628973629268e-17
subminute_decay,6,distance,single_bar,1,6,10,100800,14400,100800,7.607305002611015,2.823413111564425e-14,3.532031237082861,0.0004125690936220995,7.8500722685861,4.1995418996192e-15,cross,2.2361431843590244e-11,2.1740280959046073e-11,9.722361671126193e-13,0.3267547221487028,0.3172656329953945,0.013614780089529285,3.3260371844984065e-12,3.2336472627067843e-12,1.4461031236949593e-13
subminute_decay,6,pca,single_bar,1,6,10,100800,14400,100800,9.024348164585039,1.8391157538878647e-19,3.8135843217463776,0.00013704921927382724,9.154775946673775,5.5473651305694e-20,cross,1.456579677079189e-16,1.4216364777553194e-16,7.282898385395944e-18,0.10854298166487117,0.1056649480601208,0.00493377189385778,4.393513183410965e-17,4.288113245930146e-17,2.1967565917054825e-18
subminute_decay,7,best,single_bar,1,7,10,86400,12342,86400,-0.8661624540496665,0.3866339910899026,0.3229159197562864,0.7468345979764368,2.5483793305238547,0.010989052932706021,"car,cross,own",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19340733161562598
subminute_decay,7,sum,single_bar,1,7,10,86400,12342,86400,-0.8577511915501401,0.3912602695643227,0.28423968847707487,0.7762926702253565,2.163841797811302,0.03074133351098147,"car,cross,own",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49688032940198623
subminute_decay,7,distance,single_bar,1,7,10,86400,12342,86400,-0.38882940112144637,0.6974951443492492,0.8143968597958384,0.41563499799662473,2.6641316708992266,0.007858019296391036,"car,cross,own",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14817979244623097
subminute_decay,7,pca,single_bar,1,7,10,86400,12342,86400,-0.5586125331366021,0.5765663805826732,0.5297992235824933,0.5963829819164377,2.6013450512872884,0.009439723085090109,"car,cross,own",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16991501553162197
subminute_decay,8,best,single_bar,1,8,10,75600,10800,75600,4.249895429043381,2.1413314116454564e-05,2.076254131037258,0.03787391487573126,4.478811363605649,7.517251203645336e-06,cross,0.016959344780232016,0.01627411872850547,0.0005139195387949096,1.0,1.0,1.0,0.005953662953287106,0.005720628165974101,0.00018605196729022205
subminute_decay,8,sum,single_bar,1,8,10,75600,10800,75600,6.08967447096125,1.1369829410736016e-09,1.8817934500587876,0.05986800746351313,5.995466583818843,2.0384322426680632e-09,cross,9.004904893302925e-07,8.720659158034525e-07,3.463424958962663e-08,1.0,1.0,1.0,1.614438336193106e-06,1.5634775301264046e-06,6.20937821612733e-08
subminute_decay,8,distance,single_bar,1,8,10,75600,10800,75600,5.513443100105019,3.530584539687612e-08,1.9102864773756434,0.05610021934339054,5.464374149812928,4.6604441437433274e-08,"car,cross",2.796222955432589e-05,2.7044277574007108e-05,1.0356381316416997e-06,1.0,1.0,1.0,3.691071761844715e-05,3.565239769963646e-05,1.3182399149445411e-06
subminute_decay,8,pca,single_bar,1,8,10,75600,10800,75600,6.152134633679604,7.683916552020598e-10,1.97564803176431,0.048198383221913395,6.028659433553206,1.661088698442662e-09,"car,cross",6.085661909200314e-07,5.901247911951819e-07,2.4342647636801254e-08,1.0,1.0,1.0,1.3155822491665883e-06,1.2757161204039644e-06,5.2623289966663537e-08
subminute_decay,9,best,single_bar,1,9,10,67200,9600,67200,4.391250802322255,1.1287734150518707e-05,1.2100037326802073,0.22628184095902348,5.295165085152571,1.192925452398667e-07,"car,cross",0.008939885447210815,0.008601253422695255,0.0002801326230916076,1.0,1.0,1.0,9.447969582997444e-05,9.113950456325817e-05,3.2579205458611874e-06
subminute_decay,9,sum,single_bar,1,9,10,67200,9600,67200,4.390659054091147,1.1318489821883135e-05,0.2796722511657771,0.7797298553089524,4.44695491539606,8.723955881535339e-06,"car,cross",0.008964243938931443,0.008613370754453065,0.0002801326230916076,1.0,1.0,1.0,0.006909373058175988,0.0066302064699668576,0.00020937494115684814
subminute_decay,9,distance,single_bar,1,9,10,67200,9600,67200,4.7350672566004635,2.1944129853953964e-06,0.7066386681219989,0.4797935740635524,5.051093163193335,4.404693923589841e-07,"car,cross",0.001737975084433154,0.0016765315208420828,5.993017532528117e-05,1.0,1.0,1.0,0.0003488517587483154,0.0003360781463699049,1.162839195827718e-05
subminute_decay,9,pca,single_bar,1,9,10,67200,9600,67200,5.204844256109708,1.9474536272299276e-07,0.8003055600277784,0.42353669414919404,5.570327161689386,2.5525997461514132e-08,"car,cross",0.00015423832727661025,0.00014898020248308946,5.5085116884503665e-06,1.0,1.0,1.0,2.0216589989519192e-05,1.9552914055519827e-05,7.487625922044145e-07
subminute_decay,10,best,single_bar,1,10,10,60480,8640,60480,3.5926439682827573,0.0003276046692160321,1.5990379974328988,0.10981749183119989,3.8918203954096744,9.960368084636495e-05,"car,cross",0.25946289801909744,0.2479967345965363,0.007207302722752707,1.0,1.0,1.0,0.07888611523032105,0.07549959008154464,0.0022538890065806013
subminute_decay,10,sum,single_bar,1,10,10,60480,8640,60480,3.885507360173821,0.00010222737524508238,0.7972127560956631,0.42533067338815234,3.7849540646759254,0.00015388832286913367,"car,cross",0.08096408119410525,0.07748835043577244,0.0023132594626887213,1.0,1.0,1.0,0.12187955171235386,0.11649346041193419,0.0033855431031209406
subminute_decay,10,distance,single_bar,1,10,10,60480,8640,60480,4.133414630087272,3.5790404208213905e-05,1.204726926643743,0.2283135494252598,4.160265619330926,3.1832520590678966e-05,"car,cross",0.028346000132905412,0.027164916794034353,0.0008337058862619239,1.0,1.0,1.0,0.02521135630781774,0.024160883128325334,0.0007415104796416982
subminute_decay,10,pca,single_bar,1,10,10,60480,8640,60480,4.521522063610119,6.151532700859884e-06,1.1434229288723285,0.25286765672129025,4.511443389470165,6.45114634488347e-06,"car,cross",0.004872013899081028,0.004693619450756092,0.00016240046330270094,1.0,1.0,1.0,0.005109307905147708,0.004915773514801204,0.00016481638403702283
